Timestamp;Goal x;Goal y;Goal z;Goal roll;Goal pitch;Goal yaw;shoulder_pan_joint;shoulder_lift_joint;elbow_joint;wrist_1_joint;wrist_2_joint;wrist_3_joint;measurement_temperature;measurement_x;measurement_std_x;measurement_y;measurement_std_y;measurement_z;measurement_std_z;measurement_rx;measurement_std_rx;measurement_ry;measurement_std_ry;measurement_rz;measurement_std_rz
2,02011E+13;-0,000181978;-0,365141;1,4273;1,57005;1,56969;-0,000186977;-3,14159;-1,5708;0;-1,5708;0;0;21,68000031;383,97123;0,041565;-3240,7562;0,022023;201,72621;0,0055848;-90,179563;0,0024569;-20,112975;0,0065397;-90,157388;0,008348
2,02011E+13;0,0103459;-0,480444;1,00632;3,10253;1,66683;1,57927;-4,08444;-2,6946;1,69873;-2,031;0,99275;-0,0673035;21,68000031;335,14778;0,0054521;-3134,3677;0,0062093;-221,16088;0,0076535;-84,20352;0,00099888;-22,726835;0,0026542;-88,245609;0,0014716
2,02011E+13;-0,0051336;-0,413612;0,846258;3,60029;1,58947;1,66501;-3,65442;-2,82442;2,02635;-2,23002;0,148482;-0,104726;21,68000031;366,98838;0,0053833;-3193,923;0,0014461;-379,93994;0,0037511;-89,065785;0,0018116;0,79839706;0,0022225;-89,749441;0,0022997
2,02011E+13;-0,0798171;-0,454235;0,841657;3,16162;1,78563;1,71706;-4,46788;-2,96612;2,05675;-2,016;1,45392;-0,0218881;21,68000031;430,87228;0,011936;-3126,7292;0,0034878;-387,86143;0,0026517;-76,3946;0,0013684;-26,638492;0,0020473;-83,796832;0,0038494
2,02011E+13;-0,209376;-0,414683;1,1511;3,68361;1,4079;1,58468;-4,46573;-2,37409;1,26161;-2,22417;0,799081;0,0512681;21,68000031;555,32036;0,017994;-3121,3806;0,0077084;-71,991956;0,0037809;-98,175768;0,0013643;10,498833;0,0012451;-93,561429;0,0064192
2,02011E+13;-0,0998344;-0,519876;0,956268;3,49177;1,59286;1,40997;-4,22032;-2,80117;1,72054;-2,02247;0,567164;-0,0255259;21,68000031;416,58978;0,0058543;-3060,6042;0,010102;-269,65056;0,0083389;-88,833476;0,0017356;9,1393637;0,0018186;-89,968513;0,00187
2,02011E+13;-0,0498899;-0,434082;1,1654;3,54751;1,4202;1,65406;-3,92454;-2,31708;1,23204;-2,36275;0,474402;0,213438;21,68000031;401,74103;0,014736;-3158,8733;0,017388;-57,962163;0,0097855;-97,986481;0,0015747;-1,2545341;0,0016082;-93,91339;0,0019567
2,02011E+13;0,111983;-0,722976;1,04393;2,96633;1,52898;1,70347;-4,30413;-2,73828;1,27206;-1,71689;1,46989;0,010603;21,68000031;160,60945;0,0069815;-2939,02;0,012604;-182,17249;0,0061313;-93,249746;0,0026096;-37,640497;0,0013124;-91,753074;0,0016135
2,02011E+13;0,263361;-0,734831;0,814484;3,72806;1,46633;1,63596;-3,88985;-3,1012;1,53969;-1,95444;0,239649;0,305638;21,68000031;2,4829701;0,0094843;-2983,1458;0,0021919;-411,16272;0,0085013;-95,101527;0,001922;10,005549;0,001709;-92,73713;0,0028402
2,02011E+13;0,365175;-0,60568;1,02865;3,69173;1,5286;1,71879;-3,62882;-2,75575;1,22555;-2,01729;0,0913943;0,381348;21,68000031;-48,665459;0,022824;-3140,4991;0,007922;-198,44413;0,032001;-92,140739;0,0021483;2,970623;0,0019521;-91,429645;0,0038735
